name,Prec,Rec,F1,Actual,GHAC
Avg,0.861848075235129,0.7920531107249291,0.8127605986669862,0,0.0
Ajay Gupta,0.29537366548042704,0.6974789915966386,0.415,9,9
Alok Gupta,0.9176201372997712,0.9547619047619048,0.9358226371061844,2,2
Barry Wilkinson,1.0,1.0,1.0,1,1
Bin Li,0.926040061633282,0.7347188264058679,0.8193592365371506,60,60
Bin Yu,0.7820945945945946,0.4978494623655914,0.6084099868593955,17,17
Bin Zhu,0.92,0.8070175438596491,0.8598130841121495,15,15
Bing Liu,0.9590302574704003,0.5207674252474742,0.675,18,18
Bo Liu,0.9448529411764706,0.628361858190709,0.7547723935389132,47,47
Bob Johnson,0.6,0.6,0.6,7,7
Charles Smith,1.0,1.0,1.0,4,4
Cheng Chang,0.8048780487804879,0.8148148148148148,0.8098159509202455,5,5
Daniel Massey,0.9974457215836526,0.9070847851335656,0.9501216545012166,2,2
David Brown,0.9863013698630136,0.9773755656108597,0.9818181818181817,25,25
David C. Wilson,0.9946595460614153,0.8997584541062802,0.9448319594166138,5,5
David Cooper,0.9,0.9,0.9,7,7
David E. Goldberg,0.9912663755458515,0.9912663755458515,0.9912663755458515,3,3
David Jensen,0.9208163265306123,0.9583687340696686,0.9392173189009159,4,4
David Levine,0.74,0.3474178403755869,0.47284345047923326,18,18
David Nelson,0.9444444444444444,0.9444444444444444,0.9444444444444444,11,11
Eric Martin,0.9705712637045586,0.9830508474576272,0.9767711962833914,5,5
F. Wang,0.3333333333333333,0.5,0.4,17,17
Fan Wang,0.8993288590604027,0.9403508771929825,0.9193825042881647,14,14
Fei Su,1.0,1.0,1.0,4,4
Feng Liu,0.48911465892597966,0.47531734837799716,0.4821173104434907,32,32
Feng Pan,0.8227611940298507,0.5951417004048583,0.6906812842599843,15,15
Frank Mueller,0.9596129575094657,0.9596129575094657,0.9596129575094657,3,3
Gang Chen,0.9732824427480916,0.47500776156473146,0.6384310452743583,47,47
Gang Luo,0.9606299212598425,0.5648148148148148,0.7113702623906705,9,9
Hao Wang,0.693950177935943,0.5531914893617021,0.6156274664561958,48,48
Hiroshi Tanaka,0.9468085106382979,0.3795309168443497,0.5418569254185693,7,7
Hong Xie,0.5,0.5,0.5,7,7
Hui Fang,0.8461538461538461,0.632183908045977,0.7236842105263158,8,8
Hui Yu,0.7647058823529411,0.65,0.7027027027027027,21,21
J. Guo,0.6666666666666666,0.6666666666666666,0.6666666666666666,10,10
J. Yin,0.8125,0.975,0.8863636363636362,7,7
Jeffrey Parsons,0.9333333333333333,0.9333333333333333,0.9333333333333333,2,2
Ji Zhang,0.7744874715261959,0.9392265193370166,0.8489388264669163,16,16
Jianping Wang,0.8517350157728707,0.5432595573440644,0.6633906633906634,5,5
Jie Tang,1.0,1.0,1.0,6,6
Jie Yu,0.8194444444444444,0.9888268156424581,0.8962025316455695,9,9
Jim Gray,0.9454969039298633,0.8963152388701616,0.9202494256645881,6,6
Jing Zhang,0.8254901960784313,0.46365638766519823,0.5937940761636107,85,85
John Collins,1.0,1.0,1.0,7,7
John F. McDonald,0.9393939393939394,0.9393939393939394,0.9393939393939394,2,2
John Hale,0.956221198156682,0.7771535580524345,0.8574380165289256,4,4
Jose M. Garcia,1.0,1.0,1.0,2,2
Juan Carlos Lopez,1.0,1.0,1.0,1,1
Kai Tang,0.9968387776606955,0.9140096618357488,0.9536290322580646,3,3
Kai Zhang,0.8666666666666667,0.7697368421052632,0.8153310104529616,24,24
Ke Chen,0.7213114754098361,0.5886287625418061,0.6482504604051567,16,16
Keith Edwards,0.8052631578947368,0.9807692307692307,0.884393063583815,4,4
Koichi Furukawa,1.0,1.0,1.0,2,2
Kuo Zhang,0.8709677419354839,0.8181818181818182,0.84375,4,4
Lei Chen,0.8910840932117527,0.25085567598402736,0.3914978855998219,40,40
Lei Fang,0.6538461538461539,0.7727272727272727,0.7083333333333333,7,7
Lei Jin,1.0,1.0,1.0,6,6
Lei Wang,0.7163029525032092,0.46733668341708545,0.5656360871768881,112,112
Li Shen,0.9537815126050421,0.6476462196861626,0.7714528462192014,9,9
Lu Liu,0.7947368421052632,0.7823834196891192,0.7885117493472584,17,17
M. Rahman,0.5454545454545454,0.42857142857142855,0.4799999999999999,9,9
Manuel Silva,0.7947019867549668,0.9687184661957619,0.8731241473396998,4,4
Mark Davis,0.8773584905660378,0.9893617021276596,0.93,6,6
