name,Prec,Rec,F1,Actual,GHAC_nok
Avg,0.7958374463361568,0.8193694746105216,0.7796207536961423,0,0.21759588961583307
Ajay Gupta,0.9848484848484849,0.5462184873949579,0.7027027027027027,9,18
Alok Gupta,0.9176201372997712,0.9547619047619048,0.9358226371061844,2,2
Barry Wilkinson,1.0,0.6507936507936508,0.7884615384615385,1,2
Bin Li,0.3041647168928404,0.7946210268948656,0.4399323181049069,60,19
Bin Yu,0.693491124260355,0.6301075268817204,0.660281690140845,17,13
Bin Zhu,0.7239583333333334,0.8128654970760234,0.7658402203856749,15,9
Bing Liu,0.9547140846872202,0.7616083273803449,0.8472979109900091,18,13
Bo Liu,0.2720070422535211,0.7555012224938875,0.4,47,17
Bob Johnson,0.6,0.6,0.6,7,7
Charles Smith,1.0,1.0,1.0,4,4
Cheng Chang,0.825,0.8148148148148148,0.8198757763975155,5,6
Daniel Massey,1.0,0.8606271777003485,0.9250936329588015,2,5
David Brown,0.907563025210084,0.9773755656108597,0.9411764705882353,25,17
David C. Wilson,0.9946595460614153,0.8997584541062802,0.9448319594166138,5,5
David Cooper,0.9,0.9,0.9,7,7
David E. Goldberg,0.991304347826087,1.0,0.9956331877729258,3,2
David Jensen,0.9591836734693877,0.9583687340696686,0.9587760305992349,4,5
David Levine,0.5971223021582733,0.38967136150234744,0.47159090909090906,18,15
David Nelson,0.9444444444444444,0.9444444444444444,0.9444444444444444,11,11
Eric Martin,0.9691842900302114,0.9374634716540035,0.9530600118835413,5,6
F. Wang,0.3333333333333333,1.0,0.5,17,14
Fan Wang,0.8782051282051282,0.9614035087719298,0.9179229480737019,14,11
Fei Su,1.0,1.0,1.0,4,4
Feng Liu,0.30756442227763925,0.5218617771509168,0.38702928870292885,32,21
Feng Pan,0.7996422182468694,0.6032388663967612,0.6876923076923077,15,12
Frank Mueller,0.9583613163196776,0.9005048380311317,0.9285326971044354,3,5
Gang Chen,0.7064471879286695,0.4796647004036014,0.5713757396449705,47,24
Gang Luo,0.9606299212598425,0.5648148148148148,0.7113702623906705,9,9
Hao Wang,0.2772963604852686,0.6808510638297872,0.3940886699507389,48,24
Hiroshi Tanaka,0.9621621621621622,0.3795309168443497,0.54434250764526,7,8
Hong Xie,0.75,0.5,0.6,7,8
Hui Fang,0.632183908045977,0.632183908045977,0.632183908045977,8,7
Hui Yu,0.4318181818181818,0.95,0.59375,21,14
J. Guo,0.375,1.0,0.5454545454545454,10,8
J. Yin,0.8125,0.975,0.8863636363636362,7,7
Jeffrey Parsons,0.9333333333333333,0.9333333333333333,0.9333333333333333,2,2
Ji Zhang,0.9970674486803519,0.9392265193370166,0.9672830725462305,16,18
Jianping Wang,0.7888888888888889,1.0,0.8819875776397516,5,2
Jie Tang,1.0,1.0,1.0,6,6
Jie Yu,1.0,0.9888268156424581,0.9943820224719102,9,11
Jim Gray,0.938054560484982,0.9892479367662443,0.962971344516421,6,2
Jing Zhang,0.2323972323972324,0.6288546255506607,0.33937592867756317,85,23
John Collins,1.0,1.0,1.0,7,7
John F. McDonald,1.0,0.9393939393939394,0.96875,2,3
John Hale,0.9848484848484849,0.4868913857677903,0.6516290726817043,4,9
Jose M. Garcia,0.8642374375550984,1.0,0.9271752837326607,2,1
Juan Carlos Lopez,1.0,1.0,1.0,1,1
Kai Tang,0.9961832061068703,0.7565217391304347,0.8599670510708403,3,5
Kai Zhang,0.7548387096774194,0.7697368421052632,0.7622149837133549,24,22
Ke Chen,0.6352497643732328,0.7513935340022296,0.6884576098059244,16,11
Keith Edwards,1.0,0.8717948717948718,0.9315068493150686,4,7
Koichi Furukawa,1.0,0.6631578947368421,0.7974683544303798,2,3
Kuo Zhang,0.8918918918918919,1.0,0.9428571428571428,4,3
Lei Chen,0.7545717035611165,0.5590416428978894,0.6422544441713771,40,20
Lei Fang,0.7096774193548387,1.0,0.8301886792452831,7,6
Lei Jin,1.0,1.0,1.0,6,6
