name,Prec,Rec,F1,Actual,HAC
Avg,0.8445813948742615,0.8032793500518385,0.8157967434583676,0,0.0
Ajay Gupta,0.6936936936936937,0.6470588235294118,0.6695652173913045,9,9
Alok Gupta,0.9176201372997712,0.9547619047619048,0.9358226371061844,2,2
Barry Wilkinson,1.0,1.0,1.0,1,1
Bin Li,0.8171428571428572,0.6992665036674817,0.7536231884057971,60,60
Bin Yu,0.5006016847172082,0.44731182795698926,0.47245883021010787,17,17
Bin Zhu,0.8157894736842105,0.7251461988304093,0.7678018575851393,15,15
Bing Liu,0.9381247025226083,0.6034289213185019,0.7344429263445534,18,18
Bo Liu,0.7216494845360825,0.5134474327628362,0.6000000000000001,47,47
Bob Johnson,0.75,0.6,0.6666666666666665,7,7
Charles Smith,1.0,1.0,1.0,4,4
Cheng Chang,0.7065217391304348,0.8024691358024691,0.7514450867052024,5,5
Daniel Massey,0.9987819732034104,0.9523809523809523,0.9750297265160522,2,2
David Brown,0.9454545454545454,0.9411764705882353,0.9433106575963718,25,25
David C. Wilson,1.0,1.0,1.0,5,5
David Cooper,0.5625,0.9,0.6923076923076923,7,7
David E. Goldberg,1.0,1.0,1.0,3,3
David Jensen,0.9566755083996463,0.91928632115548,0.9376083188908145,4,4
David Levine,0.8532110091743119,0.43661971830985913,0.577639751552795,18,18
David Nelson,0.7222222222222222,0.7222222222222222,0.7222222222222222,11,11
Eric Martin,0.9994058229352347,0.9830508474576272,0.9911608721272834,5,5
F. Wang,1.0,1.0,1.0,17,17
Fan Wang,0.8782051282051282,0.9614035087719298,0.9179229480737019,14,14
Fei Su,1.0,1.0,1.0,4,4
Feng Liu,0.45165562913907287,0.4809590973201692,0.4658469945355191,32,32
Feng Pan,0.8738404452690167,0.6356275303643725,0.7359375,15,15
Frank Mueller,0.9795961295750947,0.9795961295750947,0.9795961295750947,3,3
Gang Chen,0.8234295415959253,0.45172306737038187,0.5834001603849238,47,47
Gang Luo,0.9829683698296837,0.9351851851851852,0.9584816132858838,9,9
Hao Wang,0.5716374269005848,0.5546099290780142,0.5629949604031678,48,48
Hiroshi Tanaka,0.9593908629441624,0.40298507462686567,0.5675675675675675,7,7
Hong Xie,0.5,0.5,0.5,7,7
Hui Fang,0.8461538461538461,0.632183908045977,0.7236842105263158,8,8
Hui Yu,0.6842105263157895,0.65,0.6666666666666667,21,21
J. Guo,0.6666666666666666,0.6666666666666666,0.6666666666666666,10,10
J. Yin,0.8125,0.975,0.8863636363636362,7,7
Jeffrey Parsons,0.9333333333333333,0.9333333333333333,0.9333333333333333,2,2
Ji Zhang,0.7446236559139785,0.7651933701657458,0.7547683923705722,16,16
Jianping Wang,0.937625754527163,0.937625754527163,0.9376257545271631,5,5
Jie Tang,1.0,1.0,1.0,6,6
Jie Yu,0.8791208791208791,0.8938547486033519,0.8864265927977839,9,9
